wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
1670, 239.2,  7.0, 2.1,  10,  18,    25,  40,   10,     25, 15.27264402879512 ,        82.7727405279104 ,   128.92815827084783,          0.2431278124893938, 32.51867328537364 ,      12.461622512332385 ,   124.55952313105558,          3.6898729457399777,  99.16736379847217
1680, 240.0,  7.0, 2.1,  10,  18,    25,  40,   10,     25, 15.188036396743373,        83.23258094645485,   128.58136663052505,          0.512469740899543 , 32.51377003343875 ,      12.476643301468044 ,   124.46351559484752,          3.766953504300964 ,  99.9886474931234
1690, 240.8,  7.0, 2.1,  10,  18,    25,  40,   10,     25, 15.1044056494585  ,        83.68858415417006,   128.2376009651054 ,          0.7801775605755343, 32.50886825993166 ,      12.49166168463174  ,   124.36858609427448,          3.8432259321493167, 100.80364933152666
1710, 242.5,  7.1, 4.7,  10,  16,    25,  44,   10,     25, 16.337821579487233,        77.10869737986883,   128.9071379168025 ,          0.2594330439371163, 29.758814043780383,      21.266006486405946 ,   129.22365617374655,          0.0141944013181474,  98.64833131153004
1720, 243.3,  7.2, 4.7,  10,  16,    25,  44,   10,     25, 16.249249673506323,        77.571011444346  ,   128.56781209864096,          0.5230118247796416, 29.752085046049643,      21.28836487549965  ,   129.05789033344882,          0.1425549707462064,  99.52494311537149
1730, 244.2,  7.2, 4.7,  10,  16,    25,  44,   10,     25, 16.16167742579698 ,        78.02962673667483,   128.2313792695412 ,          0.7850292976508411, 29.74535909072337 ,      21.310717671532636 ,   128.89387321504907,          0.2697236773913262, 100.39509738324962
1740, 245.0,  7.2, 1.9,  10,  18,    25,  38,   10,     25, 14.766061587702188,        85.54851662922933,   129.02898565440566,          0.1649541430715468, 34.33310097684179 ,       7.045325890704572 ,   129.06454717577972,          0.1373970781309771,  92.8961937411364
1750, 245.8,  7.3, 1.9,  10,  18,    25,  38,   10,     25, 14.687599232809704,        85.98332591476914,   128.69611722288593,          0.4232664663845386, 34.32767817708236 ,       7.061102162170897 ,   128.97869245070115,          0.2039399296778773,  93.67163447300244
1760, 246.7,  7.3, 1.9,  10,  18,    25,  38,   10,     25, 14.610006521075851,        86.41462017264304,   128.36603726815477,          0.6800740699975869, 34.32225709007899 ,       7.076875854063585 ,   128.89376864468582,          0.2698048063176372,  94.44137490302184
1770, 247.5,  7.4, 1.9,  10,  18,    25,  38,   10,     25, 14.533268919470208,        86.84244271795409,   128.03870674110013,          0.9353933096201636, 34.31683771502037 ,       7.092646967015254 ,   128.80976065676631,          0.3350020493048255,  95.20548504389431
1780, 248.3,  7.4, 1.8,  10,  18,    25,  38,   10,     25, 14.489770363418708,        87.08552113152682,   129.12137122915053,          0.0933791584121069, 34.25958738806495 ,       7.259399998341642 ,   127.95038550899936,          1.0043955916070066,  95.44269587988758
1790, 249.2,  7.5, 1.8,  10,  18,    25,  38,   10,     25, 14.414532440979537,        87.5069393109185 ,   128.7958779191124 ,          0.3457803051902616, 34.25836590009557 ,       7.262960752406915 ,   127.87211766831516,          1.0655831302519214,  96.1812634987676
1810, 250.8,  7.5, 1.8,  10,  18,    25,  38,   10,     25, 14.26648899173226 ,        88.33977423985526,   128.15285231770957,          0.846285520074078 , 34.25592318544304 ,       7.27008186585673  ,   127.71806517609797,          1.1861258074149903,  97.64226743320106
1820, 251.7,  7.6, 1.8,  10,  18,    25,  38,   10,     25, 14.19365711170657 ,        88.75127138866746,   127.8352477149402 ,          1.0944199049615395, 34.25470195874127 ,       7.273642225255815 ,   127.64225433825472,          1.2454991964114657,  98.36483271529627
1830, 252.5,  7.6, 1.7,  10,  18,    25,  38,   10,     25, 14.15331814520562 ,        88.9796907142091 ,   129.05961460286494,          0.1412189369512577, 34.24034112109661 ,       7.315518931445662 ,   126.80674360190756,          1.902181876649749 ,  98.33861045925578
1840, 253.3,  7.7, 1.7,  10,  18,    25,  38,   10,     25, 14.081865942530898,        89.3851769115773 ,   128.74331960523895,          0.3865959470283839, 34.23904923630659 ,       7.319286942387243 ,   126.73629744173802,          1.9577460927774817,  99.0488058937704
1850, 254.2,  7.7, 1.7,  10,  18,    25,  38,   10,     25, 14.01116688102204 ,        89.78751064307204,   128.4295447987503 ,          0.6306130557677558, 34.237757448998266,       7.323054805962234 ,   126.66658218132622,          2.012763930557777 ,  99.7539424353598
1860, 255.0,  7.8, 1.7,  10,  18,    25,  38,   10,     25, 13.941208985948592,        90.18672926945774,   128.11825660294198,          0.8732843306041072, 34.23646575916062 ,       7.326822522179224 ,   126.59758648040238,          2.067243428569387 , 100.45407955081046
1870, 255.8,  7.8, 1.7,  10,  18,    25,  38,   10,     25, 13.871980536246474,        90.5828695569586 ,   127.80942206240192,          1.11462362363457  , 34.23517416678261 ,       7.330590091046909 ,   126.5292992325474 ,          2.121192468108941 , 101.14927573974904
1880, 256.7,  7.8, 1.6,  10,  18,    25,  38,   10,     25, 13.850130648534067,        90.70812402786636,   129.19711039373573,          0.0347390193348624, 34.21871490215771 ,       7.378613681746065 ,   125.71631518837826,          2.7656950972685443, 100.88717182621583
1890, 257.5,  7.9, 1.6,  10,  18,    25,  38,   10,     25, 13.782097707244894,        91.09881529556668,   128.88904723480687,          0.2734678908051402, 34.2173440111235  ,       7.382614567029258 ,   125.65305143648638,          2.816020588307019 , 101.57091834170812
1910, 259.2,  8.0, 3.1,  10,  16,    25,  40,   10,     25, 14.970986541373206,        84.4191098831848 ,   129.0514517222628 ,          0.1475440251904419, 32.70417886835598 ,      11.894894314970642 ,   129.1786667702295 ,          0.0490156074295636,  96.51056383077544
1920, 260.0,  8.0, 3.1,  10,  16,    25,  40,   10,     25, 14.898443007888046,        84.81789744589162,   128.74788493977928,          0.3830499481295906, 32.70081914481786 ,      11.905131542567684 ,   129.07334286934864,          0.1305823562610898,  97.23666129285
1930, 260.8,  8.0, 3.0,  10,  16,    25,  40,   10,     25, 14.855604049567688,        85.05391811835878,   129.0592665215833 ,          0.141488642992318 , 32.67586681982644 ,      11.98119335597727  ,   128.3215512997794 ,          0.7147352143388293,  97.8913353316672
1940, 261.7,  8.1, 3.0,  10,  16,    25,  40,   10,     25, 14.784377109194962,        85.44720907078222,   128.75888196726754,          0.3745088226432821, 32.672401125386   ,      11.991762101420864 ,   128.2211910541798 ,          0.7929746707795419,  98.6064546656259
1950, 262.5,  8.1, 2.9,  10,  16,    25,  40,   10,     25, 14.742669932928736,        85.67800611637495,   129.11009592022725,          0.1021118712452535, 32.645656373222884,      12.073356533360066 ,   127.47756817835295,          1.3745986207184786,  99.22807314169874
1960, 263.3,  8.2, 2.9,  10,  16,    25,  40,   10,     25, 14.67272074340511 ,        86.06592638787492,   128.8127289808442 ,          0.33269765747067  , 32.64207781112773 ,      12.084278981597892 ,   127.38202776503056,          1.44956982490545  ,  99.93247285184894
