wp  , wf    , P    , volume, n1 , Pd1, Np1, Helix1, Pd2, Np2, Helix2, s1_bending, s1_contact, s2_bending, s2_contact, s3_bending, s3_contact, _source_file
2530, 310.83, 10.54, 303.17, 3.6,   8,  12,     25,  10,  24,     15,      11.16,     128.24,      17.34,     122.32,           ,           , wp_2500-2600.csv
2540, 311.67, 10.58, 326.08, 3.7,  10,  16,     20,   8,  20,     20,      12.89,     116.03,      15.62,     127.66,           ,           , wp_2500-2600.csv
2550, 312.5 , 10.62, 316.67, 3.4,  10,  16,     25,  10,  24,     15,      14.79,     127.36,      16.4 ,     117.99,           ,           , wp_2500-2600.csv
2560, 313.33, 10.67, 306.13, 3.8,  10,  16,     25,  10,  28,     20,      14.74,     125.58,      20.93,     127.17,           ,           , wp_2500-2600.csv
2570, 314.17, 10.71, 336.64, 3.5,  10,  16,     25,  10,  28,     20,      14.78,     126.92,      19.31,     120.75,           ,           , wp_2500-2600.csv
2600, 316.67, 10.83, 324.6 , 3.8,  10,  16,     20,  10,  28,     20,      12.89,     115.78,      20.94,     127.15,           ,           , wp_2600-2700.csv
2610, 317.5 , 10.88, 339.41, 3.0,  10,  16,     20,  10,  24,     20,      13.02,     119.59,      20.04,     129.22,           ,           , wp_2600-2700.csv
2620, 318.33, 10.92, 318.13, 3.1,  10,  18,     25,   8,  16,     15,      13.14,     113.97,      15.14,     127.5 ,           ,           , wp_2600-2700.csv
2630, 319.17, 10.96, 332.52, 3.1,   8,  14,     25,   8,  18,     20,       9.54,     111.11,      16.92,     127.95,           ,           , wp_2600-2700.csv
2640, 320.0 , 11.0 , 315.79, 3.2,  10,  18,     25,  10,  22,     15,      13.13,     113.51,      17.3 ,     124.77,           ,           , wp_2600-2700.csv
2650, 320.83, 11.04, 340.4 , 2.8,   8,  16,     25,  10,  20,     15,       8.32,      97.86,      17.14,     127.49,           ,           , wp_2600-2700.csv
2660, 321.67, 11.08, 327.07, 3.3,   8,  14,     25,  10,  22,     15,       9.52,     110.19,      17.84,     127.16,           ,           , wp_2600-2700.csv
2670, 322.5 , 11.12, 309.36, 3.8,  10,  16,     25,  10,  28,     20,      14.78,     125.85,      20.97,     127.11,           ,           , wp_2600-2700.csv
2680, 323.33, 11.17, 342.43, 3.2,   8,  12,     20,  10,  22,     15,       9.11,     115.96,      17.31,     124.75,           ,           , wp_2600-2700.csv
2700, 325.0 , 11.25, 336.68, 3.1,   8,  14,     25,   8,  18,     20,       9.56,     111.26,      16.94,     127.93,           ,           , wp_2700-2800.csv
2710, 325.83, 11.29, 344.33, 4.3,   8,  12,     25,  10,  30,     20,      11.11,     125.88,      21.77,     127.9 ,           ,           , wp_2700-2800.csv
2720, 326.67, 11.33, 349.0 , 3.3,  10,  16,     20,  10,  26,     20,      13.01,     118.22,      20.01,     125.84,           ,           , wp_2700-2800.csv
2730, 327.5 , 11.38, 338.77, 3.9,  10,  16,     25,  10,  30,     20,      14.79,     125.59,      19.78,     120.14,           ,           , wp_2700-2800.csv
2740, 328.33, 11.42, 349.5 , 3.0,  10,  16,     20,  10,  22,     15,      13.07,     119.89,      16.27,     119.9 ,           ,           , wp_2700-2800.csv
2750, 329.17, 11.46, 353.32, 3.9,   8,  12,     25,  10,  30,     20,      11.18,     127.46,      19.79,     120.13,           ,           , wp_2700-2800.csv
2760, 330.0 , 11.5 , 365.94, 2.9,   8,  12,     20,   6,  12,     20,       9.17,     117.88,      10.77,     125.96,           ,           , wp_2700-2800.csv
2770, 330.83, 11.54, 325.02, 3.3,  10,  18,     25,  10,  22,     15,      13.17,     113.32,      17.87,     127.13,           ,           , wp_2700-2800.csv
2780, 331.67, 11.58, 331.17, 3.9,   8,  12,     25,   6,  16,     25,      11.19,     127.53,      13.45,     126.93,           ,           , wp_2700-2800.csv
2790, 332.5 , 11.62, 340.36, 4.2,   8,  12,     25,  10,  30,     20,      11.14,     126.41,      21.3 ,     125.92,           ,           , wp_2700-2800.csv
2800, 333.33, 11.67, 367.1 , 2.9,  10,  20,     25,   8,  18,     20,      10.79,     103.33,      15.89,     122.81,           ,           , wp_2800-2900.csv
2810, 334.17, 11.71, 316.49, 3.9,  10,  16,     25,  10,  28,     20,      14.83,     125.78,      21.56,     129.15,           ,           , wp_2800-2900.csv
2820, 335.0 , 11.75, 325.41, 3.5,  10,  16,     25,   8,  20,     20,      14.89,     127.53,      14.85,     123.12,           ,           , wp_2800-2900.csv
2830, 335.83, 11.79, 316.86, 3.9,  10,  16,     25,  10,  28,     20,      14.83,     125.83,      21.57,     129.14,           ,           , wp_2800-2900.csv
2840, 336.67, 11.83, 341.68, 3.7,  10,  16,     25,  10,  26,     15,      14.87,     126.67,      16.16,     114.06,           ,           , wp_2800-2900.csv
2850, 337.5 , 11.88, 326.56, 3.3,  10,  18,     25,  10,  22,     15,      13.2 ,     113.49,      17.9 ,     127.11,           ,           , wp_2800-2900.csv
2860, 338.33, 11.92, 317.79, 3.6,  10,  16,     25,  10,  24,     15,      14.89,     127.15,      17.44,     122.17,           ,           , wp_2800-2900.csv
2870, 339.17, 11.96, 316.77, 3.6,  10,  16,     25,   8,  20,     20,      14.89,     127.18,      15.28,     125.3 ,           ,           , wp_2800-2900.csv
2880, 340.0 , 12.0 , 353.15, 2.7,  10,  20,     25,  10,  20,     15,      10.84,     104.61,      16.6 ,     124.74,           ,           , wp_2800-2900.csv
2900, 341.67, 12.08, 347.69, 3.8,  10,  16,     25,   8,  22,     20,      14.87,     126.39,      14.36,     117.06,           ,           , wp_2900-3000.csv
2910, 342.5 , 12.12, 363.0 , 4.1,  10,  16,     25,   8,  22,     20,      14.84,     125.27,      15.49,     122.87,           ,           , wp_2900-3000.csv
2920, 343.33, 12.17, 337.59, 3.8,  10,  16,     25,   6,  16,     25,      14.88,     126.43,      13.15,     124.78,           ,           , wp_2900-3000.csv
2930, 344.17, 12.21, 366.74, 3.7,  10,  16,     25,   8,  20,     15,      14.9 ,     126.87,      12.29,     111.47,           ,           , wp_2900-3000.csv
2940, 345.0 , 12.25, 359.56, 3.0,  10,  20,     25,   8,  18,     20,      10.81,     103.09,      16.46,     125.37,           ,           , wp_2900-3000.csv
2950, 345.83, 12.29, 354.88, 3.0,  10,  18,     25,  10,  22,     15,      13.27,     115.23,      16.32,     119.9 ,           ,           , wp_2900-3000.csv
2960, 346.67, 12.33, 330.4 , 3.7,   8,  12,     25,   8,  18,     15,      11.27,     128.8 ,      15.91,     125.05,           ,           , wp_2900-3000.csv
2970, 347.5 , 12.38, 328.77, 3.3,  10,  18,     25,  10,  22,     15,      13.24,     113.74,      17.93,     127.09,           ,           , wp_2900-3000.csv
2980, 348.33, 12.42, 365.62, 3.4,   8,  14,     25,  10,  24,     15,       9.59,     110.4 ,      16.52,     117.87,           ,           , wp_2900-3000.csv
3000, 350.0 , 12.5 , 335.08, 3.2,  10,  16,     20,  10,  22,     15,      13.12,     119.33,      17.41,     124.71,           ,           , wp_3000-3100.csv
3010, 350.83, 12.54, 366.84, 2.9,  10,  18,     20,   6,  12,     20,      11.63,     106.73,      10.82,     125.94,           ,           , wp_3000-3100.csv
3020, 351.67, 12.58, 328.91, 3.9,   8,  12,     25,  10,  28,     20,      11.26,     128.08,      21.64,     129.09,           ,           , wp_3000-3100.csv
3030, 352.5 , 12.62, 326.69, 3.7,  10,  16,     25,  10,  24,     15,      14.94,     127.1 ,      17.97,     124.25,           ,           , wp_3000-3100.csv
3040, 353.33, 12.67, 331.79, 3.7,   8,  12,     25,   8,  18,     15,      11.29,     128.98,      15.93,     125.02,           ,           , wp_3000-3100.csv
